A1,A2,A3
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2016,24133
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2017,23225
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2018,23557
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2019,22940
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2009,1842
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2010,1687
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2011,1603
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2012,1695
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2013,1597
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2014,1617
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2015,1483
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2016,1370
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2017,1130
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2018,976
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2019,858
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2009,845
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2010,671
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2011,617
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2012,586
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2013,530
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2014,473
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2015,333
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2016,285
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2017,258
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2018,200
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2019,143
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2009,4482
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2010,4835
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2011,5178
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2012,5482
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2013,5534
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2014,4519
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2015,5519
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2016,5084
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2017,3171
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2018,2133
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2019,4210
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Yüksek Öğretim,2009,17999
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Yüksek Öğretim,2010,18939
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Yüksek Öğretim,2011,23185
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Yüksek Öğretim,2012,24258
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Yüksek Öğretim,2013,24649
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Yüksek Öğretim,2014,24206
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Yüksek Öğretim,2015,38731
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Yüksek Öğretim,2016,40671
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Yüksek Öğretim,2017,41062
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Yüksek Öğretim,2018,41725
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:Yüksek Öğretim,2019,43094
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlkokul,2009,15347
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlkokul,2010,13762
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlkokul,2011,11009
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlkokul,2012,10619
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlkokul,2013,9023
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlkokul,2014,8559
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlkokul,2015,7875
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlkokul,2016,6492
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlkokul,2017,4538
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlkokul,2018,2911
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlkokul,2019,1606
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlköğretim,2009,743
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlköğretim,2010,2332
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlköğretim,2011,6772
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlköğretim,2012,7479
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlköğretim,2013,7631
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlköğretim,2014,8607
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlköğretim,2015,8225
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlköğretim,2016,8394
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlköğretim,2017,10922
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlköğretim,2018,12422
Erkeğin yaş grubu:30-34 ve Erkeğin eğitim durumu:İlköğretim,2019,10460
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Bilinmeyen,2009,3453
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Bilinmeyen,2010,3326
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Bilinmeyen,2011,2734
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Bilinmeyen,2012,2902
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Bilinmeyen,2013,2950
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Bilinmeyen,2014,2794
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Bilinmeyen,2015,1056
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Bilinmeyen,2016,834
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Bilinmeyen,2017,789
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Bilinmeyen,2018,802
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Bilinmeyen,2019,694
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2009,3356
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2010,3835
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2011,4403
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2012,4871
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2013,5541
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2014,6211
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2015,6890
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2016,7235
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2017,7187
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2018,7276
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2019,7092
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2009,441
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2010,365
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2011,316
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2012,355
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2013,280
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2014,324
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2015,321
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2016,307
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2017,253
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2018,212
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2019,175
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2009,287
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2010,178
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2011,177
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2012,148
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2013,160
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2014,138
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2015,93
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2016,106
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2017,87
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2018,73
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2019,53
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2009,1114
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2010,1093
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2011,1069
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2012,1091
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2013,1174
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2014,1231
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2015,1685
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2016,2105
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2017,2252
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2018,2357
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2019,2257
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Yüksek Öğretim,2009,3491
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Yüksek Öğretim,2010,3895
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Yüksek Öğretim,2011,4512
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Yüksek Öğretim,2012,5037
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Yüksek Öğretim,2013,5591
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Yüksek Öğretim,2014,6052
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Yüksek Öğretim,2015,8428
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Yüksek Öğretim,2016,9737
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Yüksek Öğretim,2017,10096
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Yüksek Öğretim,2018,10259
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:Yüksek Öğretim,2019,10531
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlkokul,2009,4195
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlkokul,2010,3845
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlkokul,2011,2775
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlkokul,2012,3091
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlkokul,2013,2913
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlkokul,2014,2979
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlkokul,2015,2903
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlkokul,2016,2748
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlkokul,2017,2450
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlkokul,2018,2108
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlkokul,2019,1812
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlköğretim,2009,64
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlköğretim,2010,293
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlköğretim,2011,1424
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlköğretim,2012,1489
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlköğretim,2013,1627
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlköğretim,2014,1716
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlköğretim,2015,2042
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlköğretim,2016,2224
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlköğretim,2017,2085
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlköğretim,2018,2308
Erkeğin yaş grubu:35-39 ve Erkeğin eğitim durumu:İlköğretim,2019,2315
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Bilinmeyen,2009,964
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Bilinmeyen,2010,915
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Bilinmeyen,2011,830
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Bilinmeyen,2012,857
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Bilinmeyen,2013,965
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Bilinmeyen,2014,1000
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Bilinmeyen,2015,432
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Bilinmeyen,2016,345
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Bilinmeyen,2017,326
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Bilinmeyen,2018,293
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Bilinmeyen,2019,349
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2009,679
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2010,707
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2011,774
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2012,946
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2013,1067
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2014,1196
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2015,1505
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2016,1622
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2017,1775
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2018,2010
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2019,2059
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2009,123
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2010,67
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2011,100
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2012,88
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2013,83
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2014,104
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2015,115
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2016,94
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2017,55
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2018,72
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2019,54
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2009,111
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2010,77
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2011,59
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2012,66
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2013,62
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2014,51
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2015,46
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2016,42
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2017,23
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2018,23
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2019,18
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2009,285
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2010,309
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2011,291
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2012,380
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2013,356
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2014,422
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2015,439
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2016,511
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2017,559
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2018,605
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Ortaokul Veya Dengi Meslek Ortaokul,2019,614
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Yüksek Öğretim,2009,741
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Yüksek Öğretim,2010,778
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Yüksek Öğretim,2011,862
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Yüksek Öğretim,2012,974
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Yüksek Öğretim,2013,1017
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Yüksek Öğretim,2014,1235
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Yüksek Öğretim,2015,1658
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Yüksek Öğretim,2016,2002
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Yüksek Öğretim,2017,2061
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Yüksek Öğretim,2018,2131
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:Yüksek Öğretim,2019,2401
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlkokul,2009,1108
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlkokul,2010,1031
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlkokul,2011,881
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlkokul,2012,921
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlkokul,2013,876
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlkokul,2014,967
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlkokul,2015,987
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlkokul,2016,970
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlkokul,2017,949
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlkokul,2018,777
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlkokul,2019,701
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlköğretim,2009,8
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlköğretim,2010,67
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlköğretim,2011,322
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlköğretim,2012,367
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlköğretim,2013,452
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlköğretim,2014,462
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlköğretim,2015,594
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlköğretim,2016,639
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlköğretim,2017,564
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlköğretim,2018,632
Erkeğin yaş grubu:40-44 ve Erkeğin eğitim durumu:İlköğretim,2019,660
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Bilinmeyen,2009,298
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Bilinmeyen,2010,348
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Bilinmeyen,2011,331
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Bilinmeyen,2012,350
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Bilinmeyen,2013,326
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Bilinmeyen,2014,361
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Bilinmeyen,2015,153
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Bilinmeyen,2016,137
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Bilinmeyen,2017,146
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Bilinmeyen,2018,142
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Bilinmeyen,2019,138
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2009,183
Erkeğin yaş grubu:45-49 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2010,206
